time_yr,keff,keff_sigma,rho_pcm,burnup_totU_pct_corrected,burnup_u235_pct_corrected
0,1.000919,0.000737,91.8,0.0000,0.0000
0.0013689,0.999307,0.000733,-69.4,0.0009,0.0012
0.0041068,1.000488,0.000681,48.8,0.0026,0.0035
0.0095825,0.999886,0.000743,-11.4,0.0061,0.0082
0.020534,0.998377,0.000767,-162.5,0.0130,0.0175
0.042437,0.997279,0.000682,-272.8,0.0268,0.0361
0.083504,0.998693,0.000768,-130.8,0.0528,0.0710
0.16564,0.998056,0.000729,-194.8,0.1047,0.1409
0.32991,0.997790,0.000730,-221.5,0.2084,0.2806
0.57632,0.995526,0.000675,-449.4,0.3640,0.4900
1,0.992464,0.000708,-759.3,0.6314,0.8497
1.5,0.989121,0.000635,-1099.8,0.9468,1.2741
2,0.987790,0.000738,-1236.1,1.2624,1.6983
2.5,0.985605,0.000675,-1460.5,1.5780,2.1224
3,0.983111,0.000847,-1717.9,1.8937,2.5463
3.5,0.982725,0.000620,-1757.9,2.2094,2.9703
4,0.980290,0.000735,-2010.6,2.5253,3.3940
4.5,0.978645,0.000735,-2182.1,2.8411,3.8176
5,0.978044,0.000756,-2244.9,3.1570,4.2410
5.5,0.978384,0.000796,-2209.3,3.4729,4.6643
6,0.975621,0.000751,-2498.8,3.7889,5.0873
6.5,0.972616,0.000665,-2815.5,4.1050,5.5102
7,0.974031,0.000767,-2666.2,4.4211,5.9330
